marca,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url
maxus,camioneta,t60 sc dx e6,,4X2,MT,2024.0,t60 sc dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 sc dx e6,,4X4,MT,2024.0,t60 sc dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t90 e6,,4X4,AT,2024.0,t90 e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t90
maxus,camioneta,t90 e6,,4X4,MT,2024.0,t90 e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t90
maxus,camioneta,t90 ev,,4X2,AT,2024.0,t90 ev,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t90
mazda,camioneta,bt-50 core,,4X4,AT,2024.0,bt50 core,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
mazda,camioneta,bt-50 core,,4X4,MT,2024.0,bt50 core,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
mazda,camioneta,bt-50 high,,4X4,AT,2024.0,bt50 high,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
mazda,camioneta,bt-50 high plus,,4X4,AT,2024.0,bt50 high plus,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
mitsubishi,camioneta,l 200 dc td dakar crs,,4X4,AT,,l 200 dc td dakar crs,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l200-dakar
mitsubishi,camioneta,l 200 dc td dakar crs hp,,4X4,AT,,l 200 dc td dakar crs hp,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l200-dakar
mitsubishi,camioneta,l 200 dc td dakar crs,,4X4,MT,,l 200 dc td dakar crs,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l200-dakar
mitsubishi,camioneta,l 200 dc td dakar crs hp,,4X4,MT,,l 200 dc td dakar crs hp,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l200-dakar
mitsubishi,camioneta,l-200 -d/c td dakar crs,,4X2,AT,,l200 dc td dakar crs,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200
mitsubishi,camioneta,l-200 -d/c td dakar crs hp,,4X2,AT,,l200 dc td dakar crs hp,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200
mitsubishi,camioneta,l-200 -d/c td dakar crs,,4X2,MT,,l200 dc td dakar crs,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200
mitsubishi,camioneta,l-200 -d/c td dakar crs hp,,4X2,MT,,l200 dc td dakar crs hp,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200
