model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido
chery tiggo 2 gl MT,chery,tiggo 2 gl,,,MT,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 2 gls MT,chery,tiggo 2 gls,,,MT,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 2 glx MT,chery,tiggo 2 glx,,,MT,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 2 l MT,chery,tiggo 2 l,,,MT,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-2-pro-max/15l-gl/178863,bencina,1499 cc,114/6150 cv/rpm,143/4000 N·m/rpm,inyección electrónica,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 5 velocidades,205/55/R16,discos ventilados - discos sólidos,independiente tipo McPherson,independiente de brazos arrastrados,4200 mm,1760 mm,N/D,1570 mm,2555 mm,320 dm3,48 l,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar para el conductor, con ajuste manual",abatibles 60/40,símil cuero y tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,sí,táctil de 9'',"asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,sí,,sí,,sí,sí,trasera,sí,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 3 1.5l gl MT,chery,tiggo 3 1.5l gl,,,MT,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 3 1.5l gls,chery,tiggo 3 1.5l gls,,,,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 3 1.5l gls MT,chery,tiggo 3 1.5l gls,,,MT,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 3 1.5l pro gls AT 2024.0,chery,tiggo 3 1.5l pro gls,,,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-3-pro/gls-cvt/178861,bencina,1498 cc,111/6150 cv/rpm,138/4000 N·m/rpm,inyección electrónica,4 en línea,16,sí,no,N/D,"10,4 km/l","15,5 km/l","13,3 km/l",N/D,delantero - delantera,automática CVT - 9 velocidades,215/60/R17,discos ventilados - discos sólidos,McPherson,barra de torsión,4318 mm,1831 mm,N/D,1661 mm,2610 mm,342 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina)",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",4,,sí,,indicador de presión de neumáticos,sí,sí,con botón,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 3 1.5l pro glx AT 2024.0,chery,tiggo 3 1.5l pro glx,,,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-3-pro/glx-turbo/178862,bencina,1498 cc,145/5500 cv/rpm,210/1700-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,8 km/l","17,2 km/l","14,1 km/l",N/D,delantero - delantera,manual 5 velocidades,215/55/R18,discos ventilados - discos sólidos,McPherson,barra de torsión,4318 mm,1831 mm,N/D,1661 mm,2610 mm,342 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",4,,sí,,"asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,con botón,sí,,sí,sí,periférica (360°),sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 3 1.5l pro glx MT 2024.0,chery,tiggo 3 1.5l pro glx,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-3-pro/glx-turbo/178862,bencina,1498 cc,145/5500 cv/rpm,210/1700-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,8 km/l","17,2 km/l","14,1 km/l",N/D,delantero - delantera,manual 5 velocidades,215/55/R18,discos ventilados - discos sólidos,McPherson,barra de torsión,4318 mm,1831 mm,N/D,1661 mm,2610 mm,342 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",4,,sí,,"asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,con botón,sí,,sí,sí,periférica (360°),sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 3 gls MT,chery,tiggo 3 gls,,,MT,,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 7 1.5l pro gls AT 2024.0,chery,tiggo 7 1.5l pro gls,,,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-3-pro/gls-cvt/178861,bencina,1498 cc,111/6150 cv/rpm,138/4000 N·m/rpm,inyección electrónica,4 en línea,16,sí,no,N/D,"10,4 km/l","15,5 km/l","13,3 km/l",N/D,delantero - delantera,automática CVT - 9 velocidades,215/60/R17,discos ventilados - discos sólidos,McPherson,barra de torsión,4318 mm,1831 mm,N/D,1661 mm,2610 mm,342 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina)",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",4,,sí,,indicador de presión de neumáticos,sí,sí,con botón,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 7 1.5l pro glx AT 2024.0,chery,tiggo 7 1.5l pro glx,,,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-3-pro/glx-turbo/178862,bencina,1498 cc,145/5500 cv/rpm,210/1700-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,8 km/l","17,2 km/l","14,1 km/l",N/D,delantero - delantera,manual 5 velocidades,215/55/R18,discos ventilados - discos sólidos,McPherson,barra de torsión,4318 mm,1831 mm,N/D,1661 mm,2610 mm,342 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",4,,sí,,"asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,con botón,sí,,sí,sí,periférica (360°),sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 8 1.5l gls MT 2024.0,chery,tiggo 8 1.5l gls,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 8 1.5l glx AT 2024.0,chery,tiggo 8 1.5l glx,,,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 8 1.6l pro glx AT 2024.0,chery,tiggo 8 1.6l pro glx,,,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 8 1.6l pro max glx AT 2024.0,chery,tiggo 8 1.6l pro max glx,,,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
chery tiggo 8 2.0l pro max glx AWD AT 2024.0,chery,tiggo 8 2.0l pro max glx,,AWD,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chery/tiggo-8/15l-gls/178860,bencina,1498 cc,145/5500 cv/rpm,210/1750-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,1 km/l","15,5 km/l","13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,235/55/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4673 mm,1858 mm,N/D,1746 mm,2700 mm,892 dm3,N/D,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,"de 10,2""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,,,sí,,sí,sí,trasera,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,
