marca,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
mitsubishi,suv,outlander 2.0l,,4X2,MT,,outlander 20l,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gl-4x2-5-pas/179638
mitsubishi,suv,outlander 2.4l gl,,4X2,,,outlander 24l gl,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gl-4x2-5-pas/179638
mitsubishi,suv,outlander 2.4l gl aut,,4X2,,,outlander 24l gl aut,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gl-4x2-5-pas/179638
mitsubishi,suv,outlander 2.4l gls aut,,4X4,,,outlander 24l gls aut,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gls-4x4-7-pas/179640
mitsubishi,suv,outlander 2.4l glx aut,,4X4,,,outlander 24l glx aut,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gls-4x4-7-pas/179640
mitsubishi,suv,outlander,,4X2,AT,,outlander,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x2,at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gl-4x2-5-pas/179638
mitsubishi,suv,outlander gl,,4X2,AT,2024.0,outlander gl,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x2,at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gl-4x2-5-pas/179638
mitsubishi,suv,outlander,,4X2,MT,,outlander,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gl-4x2-5-pas/179638
mitsubishi,suv,outlander gls,,4X4,,,outlander gls,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gls-4x4-7-pas/179640
mitsubishi,suv,outlander gls,,4X4,AT,,outlander gls,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gls-4x4-7-pas/179640
mitsubishi,suv,outlander glx,,4X4,,,outlander glx,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gls-4x4-7-pas/179640
mitsubishi,suv,outlander glx,,4X4,6AT,,outlander glx,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x4,6at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gls-4x4-7-pas/179640
mitsubishi,suv,outlander gls limited,,4X4,AT,2024.0,outlander gls limited,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gls-4x4-7-pas-limited/179641
mitsubishi,suv,outlander glx,,4X2,AT,2024.0,outlander glx,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,4x2,at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-glx-4x2-7-pas/179639
mitsubishi,suv,outlander phev,,,,,outlander phev,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/outlander,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/mitsubishi/outlander/25l-gl-4x2-5-pas/179638
mitsubishi,suv,xpander cross,,,AT,2024.0,xpander cross,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/xpander,nan,nan,at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/xpander/gl/179635
mitsubishi,suv,xpander gl,,,MT,2024.0,xpander gl,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/xpander,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/mitsubishi/xpander/gl/179635
mitsubishi,suv,xpander glx,,,AT,2024.0,xpander glx,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/xpander,nan,nan,at,https://www.autocosmos.cl/catalogo/2025/mitsubishi/xpander/glx/179636
nissan,suv,kicks 1.6l advance aut,,,,,kicks 16l advance aut,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-advance-cvt/179663
nissan,suv,kicks 1.6l advance,,,CVT,,kicks 16l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-advance/179662
nissan,suv,kicks 1.6l advance,,,MT,,kicks 16l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-advance/179662
nissan,suv,kicks 1.6l exclusive aut,,,,,kicks 16l exclusive aut,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-exclusive-cvt/179664
nissan,suv,kicks 1.6l rock edition,,,,,kicks 16l rock edition,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-exclusive-aut-rock-edition/179670
nissan,suv,kicks 1.6l sense,,,,,kicks 16l sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-sense/179661
nissan,suv,kicks 1.6l sense,,,MT,,kicks 16l sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-sense/179661
nissan,suv,kicks advance 1.6l colors,,,MT,,kicks advance 16l colors,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-advance-cvt/179663
nissan,suv,kicks advance,,,CVT,2024.0,kicks advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-advance/179662
nissan,suv,kicks advance,,,MT,2024.0,kicks advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-advance/179662
nissan,suv,kicks exclusive,,,CVT,2024.0,kicks exclusive,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-exclusive-cvt/179664
nissan,suv,kicks sense,,,MT,2024.0,kicks sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/kicks,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/kicks/16l-sense/179661
nissan,suv,murano 3.5l advance aut,,,,,murano 35l advance aut,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/navara/23d-pro-4x/179660
nissan,suv,murano 3.5l exclusive aut,,,,,murano 35l exclusive aut,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655
nissan,suv,new qashqai mc 2.0l advance,,,CVT,,new qashqai mc 20l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,new qashqai mc 2.0l advance,,,MT,,new qashqai mc 20l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,new qashqai mc 2.0l exclusive,,4WD,CVT,,new qashqai mc 20l exclusive,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,4wd,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/exclusive-cvt-4x4/179668
nissan,suv,new qashqai mc 2.0l sense,,,MT,,new qashqai mc 20l sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/sense/179665
nissan,suv,nueva mc -qashqai 2.0l exclusive,,4X4,CVT,,nueva mc qashqai 20l exclusive,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,4x4,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/exclusive-cvt-4x4/179668
