MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Match Key,Model URL
MAXUS,CAMIONETA,T60 DX,,4X2,MT,2024,t60,maxus,maxus t60,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
MAXUS,CAMIONETA,T60 DX E6,,4X2,MT,2024,t60 e6,maxus,maxus t60 e6,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
MAXUS,CAMIONETA,T60 DX E6,,4X4,MT,2024,t60 e6,maxus,maxus t60 e6,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
MAXUS,CAMIONETA,T60 E6 GL,,4X2,AT,2024,t60 e6 gl,maxus,maxus t60 e6 gl,
MAXUS,CAMIONETA,T60 E6 GL,,4X2,MT,2024,t60 e6 gl,maxus,maxus t60 e6 gl,
MAXUS,CAMIONETA,T60 E6 GL,,4X4,MT,2024,t60 e6 gl,maxus,maxus t60 e6 gl,
MAXUS,CAMIONETA,T60 E6 GLX,,4X4,AT,2024,t60 e6,maxus,maxus t60 e6,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
MAXUS,CAMIONETA,T60 SC DX E6,,4X2,MT,2024,t60 sc e6,maxus,maxus t60 sc e6,
MAXUS,CAMIONETA,T60 SC DX E6,,4X4,MT,2024,t60 sc e6,maxus,maxus t60 sc e6,
MAXUS,CAMIONETA,T90 E6,,4X4,AT,2024,t90 e6,maxus,maxus t90 e6,https://www.autocosmos.cl/catalogo/vigente/maxus/t90-ev
MAXUS,CAMIONETA,T90 E6,,4X4,MT,2024,t90 e6,maxus,maxus t90 e6,https://www.autocosmos.cl/catalogo/vigente/maxus/t90-ev
MAXUS,CAMIONETA,T90 EV,,4X2,AT,2024,t90 ev,maxus,maxus t90 ev,https://www.autocosmos.cl/catalogo/vigente/maxus/t90-ev
MAZDA,CAMIONETA,BT-50 CORE,,4X4,AT,2024,bt50 core,mazda,mazda bt50 core,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
MAZDA,CAMIONETA,BT-50 CORE,,4X4,MT,2024,bt50 core,mazda,mazda bt50 core,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
MAZDA,CAMIONETA,BT-50 HIGH,,4X4,AT,2024,bt50 high,mazda,mazda bt50 high,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
MAZDA,CAMIONETA,BT-50 HIGH PLUS,,4X4,AT,2024,bt50 high,mazda,mazda bt50 high,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50
MITSUBISHI,CAMIONETA,L200 D/C TD DAKAR CRS,,4X4,MT,2024,l200 dc td dakar crs,mitsubishi,mitsubishi l200 dc td dakar crs,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l200-dakar
MITSUBISHI,CAMIONETA,L200 D/C TD KATANA CR,,4X2,MT,2024,l200 dc td katana cr,mitsubishi,mitsubishi l200 dc td katana cr,
MITSUBISHI,CAMIONETA,L200 D/C TD KATANA CRT,,4X4,MT,2024,l200 dc td katana crt,mitsubishi,mitsubishi l200 dc td katana crt,
MITSUBISHI,CAMIONETA,L200 D/C TD WORK CR,,4X2,MT,2024,l200 dc td work cr,mitsubishi,mitsubishi l200 dc td work cr,
NISSAN,CAMIONETA,NAVARA DC P4X,,,,2024,navara dc p4x,nissan,nissan navara dc p4x,
NISSAN,CAMIONETA,NAVARA DC PLATINUM 2.3D,,4X4,AT,2024,navara dc platinum 23d,nissan,nissan navara dc platinum 23d,
NISSAN,CAMIONETA,NAVARA DC PLATINUM 2.3D,,4X4,MT,2024,navara dc platinum 23d,nissan,nissan navara dc platinum 23d,
NISSAN,CAMIONETA,NAVARA DC SE 2.3D,,4X2,MT,2024,navara dc 23d,nissan,nissan navara dc 23d,
NISSAN,CAMIONETA,NAVARA DC SE 2.3D,,4X4,MT,2024,navara dc 23d,nissan,nissan navara dc 23d,
NISSAN,CAMIONETA,NAVARA DC XE 2.3D,,4X2,MT,2024,navara dc 23d,nissan,nissan navara dc 23d,
NISSAN,CAMIONETA,NAVARA DC XE 2.3D,,4X4,AT,2024,navara dc 23d,nissan,nissan navara dc 23d,
NISSAN,CAMIONETA,NAVARA DC XE 2.3D,,4X4,MT,2024,navara dc 23d,nissan,nissan navara dc 23d,
PEUGEOT,CAMIONETA,LANDTREK ACTION4 BLUEHDI 180,,4X4,AT,2024,landtrek action4 bluehdi 180,peugeot,peugeot landtrek action4 bluehdi 180,
PEUGEOT,CAMIONETA,LANDTREK ACTIVE BLUEHDI 180,,4X2,MT,2024,landtrek active bluehdi 180,peugeot,peugeot landtrek active bluehdi 180,
