MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL
RAM,CAMIONETA,BIGHORN LX,1.8,,AT,2024,bighorn lx,ram,
RAM,CAMIONETA,BIGHORN NIGHT EDITION,1.8,,AT,2024,bighorn night edition,ram,
RAM,CAMIONETA,REBEL,2.0,4X4,AT,2024,rebel,ram,
RAM,CAMIONETA,CREW CAB BIGHORN,3.6L,,AT,2024,crew cab bighorn,ram,
RAM,CAMIONETA,CREW CAB LIMITED,5.7L,,AT,2024,crew cab limited,ram,
RAM,CAMIONETA,CREW CAB REBEL,5.7L,,AT,2024,crew cab rebel,ram,
RAM,CAMIONETA,700 BIGHORN CD,1.3,,AT,2024,700 bighorn cd,ram,https://www.autocosmos.cl/catalogo/vigente/ram/700
RAM,CAMIONETA,700 BIGHORN CD,1.3L,,MT,2024,700 bighorn cd,ram,https://www.autocosmos.cl/catalogo/vigente/ram/700
RAM,CAMIONETA,700 LARAMIE CD,1.3,,AT,2024,700 laramie cd,ram,https://www.autocosmos.cl/catalogo/vigente/ram/700
RAM,CAMIONETA,700 LARAMIE CD,1.3L,,MT,2024,700 laramie cd,ram,https://www.autocosmos.cl/catalogo/vigente/ram/700
RAM,CAMIONETA,700 LONGHORN CD,1.3,,AT,2024,700 longhorn cd,ram,https://www.autocosmos.cl/catalogo/vigente/ram/700
RAM,CAMIONETA,700 SLT CS,1.3L,,MT,2024,700 slt cs,ram,https://www.autocosmos.cl/catalogo/vigente/ram/700
RAM,CAMIONETA,700 SLT DC,1.3L,,MT,2024,700 slt dc,ram,https://www.autocosmos.cl/catalogo/vigente/ram/700
RAM,CAMIONETA,RAMPAGE BIGHORN,2.0L,,AT,2024,rampage bighorn,ram,https://www.autocosmos.cl/catalogo/vigente/ram/rampage
RAM,CAMIONETA,RAMPAGE LARAMIE,2.0L,,AT,2024,rampage laramie,ram,https://www.autocosmos.cl/catalogo/vigente/ram/rampage
RAM,CAMIONETA,RAMPAGE R/T,2.0L,,AT,2024,rampage rt,ram,https://www.autocosmos.cl/catalogo/vigente/ram/rampage
RENAULT,CAMIONETA,OROCH INTENS TURBO,1.3,4X2,AT,2024,oroch intens turbo,renault,https://www.autocosmos.cl/catalogo/vigente/renault/oroch
RENAULT,CAMIONETA,OROCH INTENS TURBO KIT,1.3,4X2,AT,2024,oroch intens turbo kit,renault,https://www.autocosmos.cl/catalogo/vigente/renault/oroch
RENAULT,CAMIONETA,OROCH INTENS TURBO KITMT,1.3,4X4,,2024,oroch intens turbo kitmt,renault,https://www.autocosmos.cl/catalogo/vigente/renault/oroch
RENAULT,CAMIONETA,OROCH INTENS TURBO,1.3,4X4,MT,2024,oroch intens turbo,renault,https://www.autocosmos.cl/catalogo/vigente/renault/oroch
RENAULT,CAMIONETA,OROCH ZEN,1.6L,4X2,MT,2024,oroch zen,renault,https://www.autocosmos.cl/catalogo/vigente/renault/oroch
SSANGYONG,CAMIONETA,MUSSO GLX 2.2TD,,4X4,MT,2024,musso glx 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO GRAND GLX 2.2TD,,4X2,AT,2024,musso grand glx 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO GRAND GLX 2.2TD,,4X2,MT,2024,musso grand glx 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO GRAND GLX 2.2TD,,4X4,MT,2024,musso grand glx 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO GRAND LIMITED 2.2TD,,4X4,AT,2024,musso grand limited 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO GRAND LIMITED PLUS 2.2TD,,4X4,AT,2024,musso grand limited plus 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
