MODEL,MARCA,Model Name,Engine,Drive,Transmission,Year,Version URL,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Seguridad - Control de estabilidad,Seguridad - Control de tracción,Confort - Control de velocidad crucero,Confort - Encendido del motor,Comunicación y entretenimiento - Apple Carplay / Android Auto,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Seguridad - Sensor de lluvia,Comunicación y entretenimiento - Conexión USB,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de navegación,Comunicación y entretenimiento - Wi-Fi,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Confort - Limitador de velocidad,Confort - Limpialuneta,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Confort - Palanca de cambios,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Motor - Potencia total sistema híbrido,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Preinstalación teléfono,Comunicación y entretenimiento - Disco rígido,Confort - Puertas
CHEVROLET GROOVE PREMIER R 1.5L MT 2024,CHEVROLET,GROOVE PREMIER R,1.5L,,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/groove/15l-premier-s/178465,bencina,1500 cc,110/5800 cv/rpm,147/3600 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 6 velocidades,R16,discos ventilados - discos ventilados,independiente tipo McPherson,barra de torsión,4220 mm,1740 mm,N/D,1615 mm,2550 mm,320/1194 dm3,45 l,1260 kg,375 kg,N/D,,,,,,,,,,climatizador,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con luces led, fijos",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura, multifunción revestido en cuero",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,con botón,,trasera,sí,,sí,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET SPIN ACTIV 7P 1.8L AT 2024,CHEVROLET,SPIN ACTIV 7P,1.8L,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/spin/18l-premier/177020,bencina,1796 cc,105/5600 cv/rpm,161/3200 N·m/rpm,inyección directa,4 en línea,16,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 5 velocidades,205/60/R16,discos ventilados - tambor,independiente tipo McPherson,barra de torsión,4360 mm,N/D,1953 mm,1609 mm,2620 mm,162/199/553/864/952/1608 dm3,53 l,1761 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,2da. fila abatibles 60/40 y 3ra. fila 50/50,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,fijos,delanteros,sí,hidráulica,aleación,no tiene,multifunción revestido en cuero,,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"2da fila incerciales (2) y central pélvico, 3ra fila inerciales (2) y central pélvico, delanteros 3 puntas",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",N/D,sí,sí,táctil de 7'',asistente para arranque en pendientes,,sí,,sí,,,trasera,sí,sí,sí,sí,,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,
CHEVROLET SPIN PREMIER 7P 1.8L MT 2024,CHEVROLET,SPIN PREMIER 7P,1.8L,,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/spin/18l-premier/177020,bencina,1796 cc,105/5600 cv/rpm,161/3200 N·m/rpm,inyección directa,4 en línea,16,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 5 velocidades,205/60/R16,discos ventilados - tambor,independiente tipo McPherson,barra de torsión,4360 mm,N/D,1953 mm,1609 mm,2620 mm,162/199/553/864/952/1608 dm3,53 l,1761 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,2da. fila abatibles 60/40 y 3ra. fila 50/50,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,fijos,delanteros,sí,hidráulica,aleación,no tiene,multifunción revestido en cuero,,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"2da fila incerciales (2) y central pélvico, 3ra fila inerciales (2) y central pélvico, delanteros 3 puntas",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",N/D,sí,sí,táctil de 7'',asistente para arranque en pendientes,,sí,,sí,,,trasera,sí,sí,sí,sí,,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,
CHEVROLET SUBURBAN Z71 P 5.3L 4WD AT 2024,CHEVROLET,SUBURBAN Z71 P,5.3L,4WD,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/suburban/53l-4x4/177014,bencina,5300 cc,355/5600 cv/rpm,518/4100 N·m/rpm,inyección directa,8 en V,32,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 10 velocidades,275/60/R20,discos ventilados - discos ventilados,independiente tipo McPherson con barra estabilizadora,barra de torsión y resortes helicoidales,5732 mm,2059 mm,N/D,1923 mm,3407 mm,971/1834/2677 dm3,110 l,2700 kg,747 kg,204 mm,N/D,"31,5°","20,0°",N/D,3690 kg,N/D,N/D,N/D,N/D,climatizador trizona,sí,"con ajuste eléctrico, con ajuste en altura y lumbar, con memorias solo conductor",2da. fila abatibles 60/40 y 3ra. fila 50/50,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"abatibles eléctricamente y memorias, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros y traseros,sí,eléctrica progresiva,aleación,eléctrico panorámico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en símil cuero","baúl eléctrico con apertura ""manos libres""",delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros y traseros",alarma e inmovilizador de motor,sí,"2da fila incerciales, 3ra fila inerciales (2) y central pélvico, delanteros 3 puntas",sí,"AM - FM, con lector de Mp3 y tarjetas SD, con comandos de audio al volante, sistema de sonido BOSE®",9,sí,sí,"de 10,2""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,sí,sí,"con botón, con sistema remoto",,periférica (360°),sí,sí,sí,sí,satelital (GPS),sí,sí,sí,sí,sí,sí,,,sí,,,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,sí,,,
CHEVROLET TAHOE Z71 P 5.3L 4WD AT 2024,CHEVROLET,TAHOE Z71 P,5.3L,4WD,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/tahoe/z71-53l-ltz-4x4/177015,bencina,5300 cc,355/5600 cv/rpm,518/4100 N·m/rpm,inyección directa turbo,8 en V,32,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 10 velocidades,275/60/R20,discos ventilados - discos sólidos,independiente tipo McPherson con barra estabilizadora,barra de torsión y barra estabilizadora,5351 mm,2058 mm,N/D,1927 mm,3071 mm,645/1452/2295 dm3,110 l,2627 kg,730 kg,204 mm,N/D,"31,5°","20,5°",N/D,3737 kg,N/D,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables y refrigerados, con ajuste eléctrico, con ajuste en altura y lumbar, con memorias solo conductor",2da. fila abatibles 60/40 y 3ra. fila 50/50,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"abatibles eléctricamente y memorias, con luz de giro incorporadas, eléctricos, térmicos y antideslumbrantes",antideslumbrante automático,"con encendido y apagado automático, con luces adaptativas en curvas, con luces led",delanteros y traseros,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y tarjetas SD, con comandos de audio al volante, sistema de sonido BOSE®",9,sí,sí,"de 10,2""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, control de frenado en curva, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,sí,adaptativa,"con botón, con sistema remoto",,periférica (360°),sí,sí,sí,sí,satelital (GPS),,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,sí,,,
CHEVROLET TRACKER LS R 1.2L MT 2024,CHEVROLET,TRACKER LS R,1.2L,,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/tracker/12l-ltz-r/178407,bencina,1200 cc,130/5500 cv/rpm,190/2000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 5 velocidades,R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4270 mm,1791 mm,N/D,1626 mm,2570 mm,393 dm3,44 l,1214 kg,410 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero y tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,fijos,no tiene,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",6,,,"táctil de 8""",asistente para arranque en pendientes,sí,sí,sí,,con botón,,trasera,sí,,,,,sí,sí,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET TRACKER LTZ P 1.2L MT 2024,CHEVROLET,TRACKER LTZ P,1.2L,,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/tracker/12l-ltz-r/178407,bencina,1200 cc,130/5500 cv/rpm,190/2000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 5 velocidades,R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4270 mm,1791 mm,N/D,1626 mm,2570 mm,393 dm3,44 l,1214 kg,410 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero y tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,fijos,no tiene,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",6,,,"táctil de 8""",asistente para arranque en pendientes,sí,sí,sí,,con botón,,trasera,sí,,,,,sí,sí,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET TRACKER LTZ R 1.2L AT 2024,CHEVROLET,TRACKER LTZ R,1.2L,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/tracker/12l-ltz-r/178407,bencina,1200 cc,130/5500 cv/rpm,190/2000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 5 velocidades,R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4270 mm,1791 mm,N/D,1626 mm,2570 mm,393 dm3,44 l,1214 kg,410 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero y tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,fijos,no tiene,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",6,,,"táctil de 8""",asistente para arranque en pendientes,sí,sí,sí,,con botón,,trasera,sí,,,,,sí,sí,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET TRACKER PREMIER P3 1.2L AT 2024,CHEVROLET,TRACKER PREMIER P3,1.2L,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/tracker/12l-premier-aut-r/178435,bencina,1200 cc,130/5500 cv/rpm,190/2000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,automática 6 velocidades,R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4270 mm,1791 mm,N/D,1626 mm,2570 mm,393 dm3,44 l,1263 kg,410 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido y apagado automático, con luces led",no tiene,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",6,,,"táctil de 8""","asistente para arranque en pendientes, sistema de alerta del punto ciego",sí,sí,sí,sí,"con botón, con sistema remoto",,trasera,sí,sí,,,,sí,,,sí,,,,,sí,,,,,,,,,,,,,,,,,
CHEVROLET TRACKER PREMIER P4 1.2L AT 2024,CHEVROLET,TRACKER PREMIER P4,1.2L,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/tracker/12l-premier-aut-r/178435,bencina,1200 cc,130/5500 cv/rpm,190/2000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,automática 6 velocidades,R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4270 mm,1791 mm,N/D,1626 mm,2570 mm,393 dm3,44 l,1263 kg,410 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido y apagado automático, con luces led",no tiene,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",6,,,"táctil de 8""","asistente para arranque en pendientes, sistema de alerta del punto ciego",sí,sí,sí,sí,"con botón, con sistema remoto",,trasera,sí,sí,,,,sí,,,sí,,,,,sí,,,,,,,,,,,,,,,,,
CHEVROLET TRACKER RS R 1.2L AT 2024,CHEVROLET,TRACKER RS R,1.2L,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/tracker/12l-rs-aut-r/177052,bencina,1200 cc,130/5500 cv/rpm,190/2000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,automática 5 velocidades,R16,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4270 mm,1791 mm,N/D,1626 mm,2570 mm,393 dm3,44 l,1200 kg,410 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido y apagado automático, con luces led",no tiene,sí,eléctrica,acero con tapas,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",4,,,"táctil de 8""",asistente para arranque en pendientes,sí,sí,sí,,,,,sí,,,,,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET TRAVERSE LT 3.6L AWD AT 2024,CHEVROLET,TRAVERSE LT,3.6L,AWD,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/traverse/36l-lt-4x4/177017,bencina,3598 cc,310/6800 cv/rpm,360/2800 N·m/rpm,inyección directa,6 en V,24,sí,sí,"6,9 s",N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/65/R18,discos ventilados - discos ventilados,independiente tipo McPherson con barra estabilizadora,"independiente, paralelegramo deformable y barra estabilizadora",5189 mm,1996 mm,N/D,1796 mm,3071 mm,651/1645/2780 dm3,82 l,2132 kg,668 kg,N/D,,,,,,,,,,climatizador trizona,sí,"con ajuste eléctrico, con ajuste en altura y lumbar",2da. fila abatibles 60/40 y 3ra. fila 50/50,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido automático, con luces adaptativas en curvas, con luces led, con regulación interna",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,sí,sí,"con botón, con sistema remoto",,trasera,sí,,sí,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET TRAVERSE PREMIER 3.6L AWD AT 2024,CHEVROLET,TRAVERSE PREMIER,3.6L,AWD,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/traverse/36l-premier-4x4/177018,bencina,3598 cc,310/6800 cv/rpm,360/2800 N·m/rpm,inyección directa,6 en V,24,sí,sí,"6,9 s",N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/65/R18,discos ventilados - discos ventilados,independiente tipo McPherson con barra estabilizadora,"independiente, paralelegramo deformable y barra estabilizadora",5189 mm,1996 mm,N/D,1796 mm,3071 mm,651/1645/2780 dm3,82 l,2132 kg,668 kg,N/D,,,,,,,,,,climatizador trizona,sí,"con ajuste eléctrico y memorias, con ajuste en altura y lumbar",2da. fila abatibles 60/40 y 3ra. fila 50/50,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"abatibles eléctricamente y memorias, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido automático, con luces adaptativas en curvas, con luces led, con regulación interna",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,sí,sí,"con botón, con sistema remoto",,trasera,sí,,sí,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET TRAVERSE RS 3.6L AWD AT 2024,CHEVROLET,TRAVERSE RS,3.6L,AWD,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/traverse/36l-rs-4x4/177027,bencina,3598 cc,310/6800 cv/rpm,360/2800 N·m/rpm,inyección directa,6 en V,24,sí,sí,"6,9 s",N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/65/R18,discos ventilados - discos ventilados,independiente tipo McPherson con barra estabilizadora,"independiente, paralelegramo deformable y barra estabilizadora",5189 mm,1996 mm,N/D,1796 mm,3071 mm,651/1645/2780 dm3,82 l,2132 kg,668 kg,N/D,,,,,,,,,,climatizador trizona,sí,"con ajuste eléctrico, con ajuste en altura y lumbar",2da. fila abatibles 60/40 y 3ra. fila 50/50,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido automático, con luces adaptativas en curvas, con luces led, con regulación interna",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,sí,sí,"con botón, con sistema remoto",,trasera,sí,,sí,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
DFSK SUV 560 COMFORT 1.8 2R 2024,DFSK,SUV 560 COMFORT,1.8,2R,,2024,https://www.autocosmos.cl/catalogo/2024/dfsk/560/18l-comfort/177090,bencina,1800 cc,138/5600 cv/rpm,187/3600-4400 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,N/D,N/D,"12,0 km/l",N/D,delantero - delantera,manual 5 velocidades,215/60/R17,discos ventilados - discos sólidos,independiente tipo McPherson,barra de torsión,4515 mm,N/D,1735 mm,1815 mm,2690 mm,N/D,58 l,1990 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido automático, con regulación interna",delanteros y traseros,sí,eléctrica,aleación,eléctrico,sin regulación,,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,táctil de 7'',,,,,sí,,,trasera,,,sí,sí,,,,,,sí,,,,,,,,,,,,,,,,,,,,,
DFSK SUV 560 COMFORT 1.8L 2024,DFSK,SUV 560 COMFORT,1.8L,,,2024,https://www.autocosmos.cl/catalogo/2024/dfsk/560/18l-comfort/177090,bencina,1800 cc,138/5600 cv/rpm,187/3600-4400 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,N/D,N/D,"12,0 km/l",N/D,delantero - delantera,manual 5 velocidades,215/60/R17,discos ventilados - discos sólidos,independiente tipo McPherson,barra de torsión,4515 mm,N/D,1735 mm,1815 mm,2690 mm,N/D,58 l,1990 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido automático, con regulación interna",delanteros y traseros,sí,eléctrica,aleación,eléctrico,sin regulación,,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,táctil de 7'',,,,,sí,,,trasera,,,sí,sí,,,,,,sí,,,,,,,,,,,,,,,,,,,,,
DFSK SUV 600 COMFORT 1.5T AT 2024,DFSK,SUV 600 COMFORT,1.5T,,AT,2024,https://www.autocosmos.cl/catalogo/2024/dfsk/600/15l-comfort/178269,bencina,1499 cc,181 cv/rpm,300 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,N/D,N/D,"13,0 km/l",N/D,delantero - delantera,manual 6 velocidades,225/60/R17,discos ventilados - discos sólidos,independiente tipo McPherson,Multi-link,4720 mm,1865 mm,N/D,1710 mm,2785 mm,N/D,N/D,N/D,N/D,200 mm,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,,"táctil de 12,3""","asistente para arranque en pendientes, indicador de presión de neumáticos",,,sí,sí,con botón,sí,trasera,sí,,sí,,,,,,sí,sí,,,,sí,,,,,,,,,,,,,,,,,
