MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL,Engine Simplified,Drive Simplified,Transmission Simplified,Version URL
JAC,CAMIONETA,T8 PRO LUXURY,,4X2,MT,2024,t8 pro luxury,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-comfort-4x2/177371
JAC,CAMIONETA,T8 PRO LUXURY,,4X4,MT,2024,t8 pro luxury,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-advance-4x4/177374
JAC,CAMIONETA,T8 XE ADVANCE,2.0T,4X2,MT,2024,t8 xe advance,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8,20t,4x2,mt,https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-advance-4x2/177373
JAC,CAMIONETA,T8 XE ADVANCE,2.0T,4X4,MT,2024,t8 xe advance,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8,20t,4x4,mt,https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-advance-4x4/177374
JMC,CAMIONETA,GRAND AVENUE,,4X2,AT,2024,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue,nan,4x2,at,https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x2/178305
JMC,CAMIONETA,GRAND AVENUE,,4X2,MT,2024,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x2/178305
JMC,CAMIONETA,GRAND AVENUE,,4X4,AT,2024,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x4/178306
JMC,CAMIONETA,GRAND AVENUE,,4X4,MT,2024,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x4/178306
JMC,CAMIONETA,VIGUS EV,,,AT,2024,vigus ev,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-ev,nan,nan,at,https://www.autocosmos.cl/catalogo/2024/jmc/vigus-ev/vigus-ev/177431
JMC,CAMIONETA,VIGUS NEW PLUS,,4X2,MT,2024,vigus new plus,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-plus,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/jmc/vigus-plus/24l-4x2/177433
JMC,CAMIONETA,VIGUS NEW PLUS,,4X4,MT,2024,vigus new plus,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-plus,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/jmc/vigus-plus/24l-4x4/177434
JMC,CAMIONETA,VIGUS NEW WORK,,4X2,MT,2024,vigus new work,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-work,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/jmc/vigus-work/25l-4x2/177429
JMC,CAMIONETA,VIGUS NEW WORK,,4X4,MT,2024,vigus new work,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-work,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/jmc/vigus-work/25l-4x4/177430
JMC,CAMIONETA,VIGUS PRO,,4X2,AT,2024,vigus pro,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-pro,nan,4x2,at,https://www.autocosmos.cl/catalogo/2024/jmc/vigus-pro/20l-4x2-aut/177435
JMC,CAMIONETA,VIGUS PRO,,4X4,AT,2024,vigus pro,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-pro,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/jmc/vigus-pro/20l-4x4-aut/177436
KARRY,CAMIONETA,Q52 CD,1.6L,,MT,2024,q52 cd,karry,https://www.autocosmos.cl/catalogo/vigente/karry/q52,16l,nan,mt,https://www.autocosmos.cl/catalogo/2024/karry/q52/16l/177448
KIA,CAMIONETA,FRONTIER C/C LX AV AB,2.5L,,MT,2024,frontier cc lx av ab,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier,25l,nan,mt,https://www.autocosmos.cl/catalogo/2024/kia/frontier/25l-deluxe/177492
KIA,CAMIONETA,FRONTIER C/C LX AV,2.5L,,MT,2024,frontier cc lx av,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier,25l,nan,mt,https://www.autocosmos.cl/catalogo/2024/kia/frontier/25l-deluxe/177492
