marca,numero licitacion,id producto,tipo producto,Model Name,Engine,Drive,Transmission,Year
chevrolet,2239-8-lr23,2042844,camioneta,montana t premier,1.2,,MT,2024
chevrolet,2239-8-lr23,2042846,camioneta,montana t premier,1.2,,MT,2024
chevrolet,2239-8-lr23,2042847,camioneta,montana t premier,1.2,,MT,2024
chevrolet,2239-8-lr23,2042849,camioneta,montana t premier,1.2,,MT,2024
chevrolet,2239-8-lr23,2042850,camioneta,montana t premier,1.2,,MT,2024
chevrolet,2239-8-lr23,2249403,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249404,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249405,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249406,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249407,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249408,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249409,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249412,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2249414,camioneta,montana t premier,1.2,,MT,2025
chevrolet,2239-8-lr23,2042869,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042870,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042871,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042872,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042873,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042874,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042875,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042876,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042877,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042878,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042880,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042881,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042882,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042883,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2042884,camioneta,montana t rs,1.2,,AT,2024
chevrolet,2239-8-lr23,2249437,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249438,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249439,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249440,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249441,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249442,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249443,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249446,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-8-lr23,2249448,camioneta,montana t rs,1.2,,AT,2025
chevrolet,2239-4-lr17,1670541,camioneta,silverado 3.0l diesel ltz,,4X4,,
chevrolet,2239-4-lr17,1670542,camioneta,silverado 5.3l lt trailboss,,4X4,,
chevrolet,2239-4-lr17,1670543,camioneta,silverado 5.3l ltz,,4X4,,
chevrolet,2239-4-lr17,1670544,camioneta,silverado cc lt tb 5.3l,,,,
chevrolet,2239-4-lr17,1670545,camioneta,silverado cc lt tb 5.3l l,,,,
chevrolet,2239-4-lr17,1670546,camioneta,silverado cc ltz 3.0td,,,,
chevrolet,2239-4-lr17,1670547,camioneta,silverado cc ltz 5.3l,,,,
chevrolet,2239-4-lr17,1670548,camioneta,silverado cc ltz 5.3l l,,,,
chevrolet,2239-8-lr23,2043022,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043023,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043024,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043025,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043026,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043027,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043028,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043029,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043030,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043031,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043033,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043034,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043035,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043036,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2043037,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,2239-8-lr23,2042988,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042989,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042990,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042991,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042992,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042993,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042994,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042995,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042996,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042997,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2042999,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043000,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043002,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043003,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2249556,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249557,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249558,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249559,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249560,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249561,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249562,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249565,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249567,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2043005,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043006,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043007,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043008,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043009,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043010,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043011,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043012,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043013,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043014,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043016,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043017,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043018,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043019,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2043020,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
chevrolet,2239-8-lr23,2249573,camioneta,silverado zr2 6.2l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249574,camioneta,silverado zr2 6.2l v8,,4X4,AT,2025
chevrolet,2239-8-lr23,2249575,camioneta,silverado zr2 6.2l v8,,4X4,AT,2025
