marca,numero licitacion,id producto,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
ford,2239-4-lr17,1670517,camioneta,ranger 2.2l tdci xl,,4X4,,,ranger 22l tdci xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x4/179042
ford,2239-4-lr17,1670519,camioneta,ranger 2.5l xlt,,4X2,,,ranger 25l xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x2/179041
ford,2239-4-lr17,1670521,camioneta,ranger 3.2l tdci ltd aut,,4X4,,,ranger 32l tdci ltd aut,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4-aut/179047
ford,2239-4-lr17,1670522,camioneta,ranger 3.2l tdci xls,,4X4,,,ranger 32l tdci xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xls-4x4/179044
ford,2239-4-lr17,1670523,camioneta,ranger 3.2l tdci xlt,,4X2,,,ranger 32l tdci xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x2/179041
ford,2239-4-lr17,1670524,camioneta,ranger 3.2l tdci xlt,,4X4,,,ranger 32l tdci xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4/179046
ford,2239-4-lr17,1670525,camioneta,ranger 3.2l tdci xlt aut,,4X4,,,ranger 32l tdci xlt aut,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4-aut/179047
ford,2239-8-lr23,2042311,camioneta,ranger dsl limited,3.0,4X4,AT,2024.0,ranger dsl limited,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,30,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/ranger/30l-limited-4x4-aut/179048
ford,2239-4-lr17,1670526,camioneta,ranger dsl limited 3.2l,,4X4,AT,,ranger dsl limited 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/ranger/30l-limited-4x4-aut/179048
ford,2239-8-lr23,2042192,camioneta,ranger dsl xl,2.0,4X2,MT,2024.0,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x2,mt,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x2/179041
ford,2239-8-lr23,2042226,camioneta,ranger dsl xl,2.0,4X4,MT,2024.0,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,mt,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x4/179042
ford,2239-4-lr17,1670527,camioneta,ranger dsl xl 2.2l,,4X2,,,ranger dsl xl 22l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x2/179041
ford,2239-4-lr17,1670528,camioneta,ranger dsl xl 2.2l,,4X4,,,ranger dsl xl 22l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x4/179042
