Modelo,ID,our_id
bobcat brazo excavador 8811,[1623626],85
bobcat brazo excavador 9bh,[1623627],86
bobcat chipeadora,[1623628],87
bobcat e10,[1623294],88
bobcat e19,[1623295],89
bobcat e26,[1623296],90
bobcat e27z,[1623297],91
bobcat e35z,[1623300],92
bobcat e80 full,[1623304],93
bobcat fresadora 14 pulgadas,[1623632],94
bobcat fresadora 40 pulgadas,[1623633],95
bobcat garra agricola,"[1623634, 1612697]",96
bobcat garra industrial,[1623635],97
bobcat hoja dozer 80 pulgadas,[1623636],98
bobcat juego horquillas 48 pulgadas,"[1623637, 1612696]",99
bobcat martillo hb880,[1623638],100
bobcat martillo hb980,[1623639],101
bobcat orugas de acero,[1623640],102
bobcat pala para nieve 84 pulgadas,[1623641],103
bobcat rodillo tambor liso 48 pulgadas,[1623642],104
bobcat s100,[1623441],105
bobcat s450,[1623442],106
bobcat s450 full,[1623443],107
bobcat s510,[1623444],108
bobcat s510 full,[1623445],109
bobcat s530,[1623446],110
bobcat s530 full,[1623447],111
bobcat s550,[1623448],112
bobcat s550 full,[1623449],113
bobcat s570,[1623450],114
bobcat s570 full,[1623451],115
bobcat s570 full-j,[1623452],116
bobcat s590,[1623453],117
bobcat s590 full,[1623454],118
bobcat s590 full-j,[1623455],119
bobcat s630,[1623456],120
bobcat s630 full,[1623457],121
bobcat s630 full-j,[1623458],122
bobcat s650,[1623459],123
bobcat s650 full,[1623460],124
bobcat s770,[1623462],125
bobcat s770 full,[1623463],126
bobcat s770 full hidraulico alto caudal,[1623464],127
bobcat s850,[1623465],128
bobcat tolva de descarga 25,[1623645],129
bobcat zanjadora lt313,[1623646],130
bomag bf223c,[1623498],131
bomag bf300c,[1578327],132
bomag bf600c-2,[1623497],133
bomag bw161ad-50,[1623512],134
bomag bw177d-5,[1623513],135
bomag bw211 d40,[1537208],136
bomag bw211d-5,[1623508],137
bomag bw212 d40,[1537209],138
bomag bw219dh5,[1623514],139
bomag bw24rh,[1623506],140
bonluck jxk 6110 cev,[1673148],141
bonluck jxk 6120 bev,[1673177],142
bonluck jxk 6129,[1673181],143
bonluck jxk6115,[1673184],144
bonluck jxk6115 inclusivo,[1673185],145
busscar fussion chevrolet npr pullman full ,[1695658],146
busscar optimuss chevrolet nqr asientos reclinables rural ,[1695643],147
busscar optimuss chevrolet nqr. pullman full ,[1695644],148
busscar optimuss chevrolet nqr. rural ,[1695645],149
busscar optimuss chevrolet nqr. urbano ,[1695646],150
busscar vissta buss 340 mercedes benz o-500 rs pullman full,[1705089],151
busscar vissta buss 360 scania k360 elevador pullman full,[1705094],152
busscar vissta buss 360 scania k360 pullman full,[1705095],153
byd han ev 2024,"[2049555, 2049557]",154
byd qin plus dm 2024,"[2049572, 2049574]",155
byd seal ev 2024,"[2049538, 2049540]",156
byd song plus dm gl at 2024,"[2051070, 2051072]",157
byd song plus dm gs at 2024,"[2051087, 2051089]",158
byd yuan plus ev gl at 2024,"[2051036, 2051038]",159
byd yuan plus ev gs at 2024,"[2051053, 2051055]",160
case 2050m,[1623607],161
case 570st,[1651971],162
case 580n,"[1550542, 1623349]",163
case 580n at 2024,"[2058052, 2058053, 2058054, 2058056, 2058057, 2058061, 2058062]",164
case 580ne,"[1550541, 1623350]",165
case 580sn,"[1550543, 1623351]",166
case 580sv at 2024,"[2058069, 2058070, 2058071, 2058073, 2058074, 2058078, 2058079]",167
case 590sn,"[1550544, 1623352]",168
case 590sn 2024,"[2044501, 2044502, 2044503, 2044505, 2044506, 2044510, 2044511]",169
case 590sn at 2024,"[2058086, 2058087, 2058088, 2058090, 2058091, 2058095, 2058096]",170
case 621g,[1623375],171
case 621g at 2024,"[2059582, 2059583, 2059584, 2059586, 2059587, 2059591, 2059592]",172
case 721g,[1623376],173
case 721g at 2024,"[2059599, 2059600, 2059601, 2059603, 2059604, 2059608, 2059609]",174
case 821g,[1623377],175
case 821g at 2024,"[2059616, 2059617, 2059618, 2059620, 2059621, 2059625, 2059626]",176
case 856c at 2024,"[2059531, 2059532, 2059533, 2059535, 2059536, 2059540, 2059541]",177
case 865b,[1652008],178
case 885b,"[1550554, 1623481]",179
case 921g at 2024,"[2059633, 2059634, 2059635, 2059637, 2059638, 2059642, 2059643]",180
case cx130c,[1623275],181
case cx130c 2024,"[2044025, 2044026, 2044027, 2044029, 2044030, 2044034, 2044035]",182
case cx210c,"[1623276, 1550533]",183
case cx210d 2024,"[2044042, 2044043, 2044044, 2044046, 2044047, 2044051, 2044052]",184
case cx220c,[1651972],185
